,reviews,sentiment,int_category
0,yet nobody coverin this libyanblackslavetrade but when trump or any other nonsense bullshit out there 😡 shit is a big deal damn it,strongly negtive,0.0
1,—  💟   thank you for keeping my dm alive despite of me being an awkward species 😂 lets talk more in the future…,strongly positive,1.0
2,off 😂,strongly positive,1.0
3,i get really nervous and forget who i am when i do these things 😂,strongly positive,1.0
4,shes literally told you shes into you 😂,strongly positive,1.0
5,all the way me 😂  mins later hes knocking 😌,strongly positive,1.0
6,bitches be like “new smile coming soon” well sus it’s been a while  what happen 😭,negative,2.0
7,django unchained  actress claims she was cuffed for showing public affection  via   not cool,positive,3.0
8,django unchained  actress claims she was cuffed for showing public affection  via   not cool,sarcasm,4.0
9,guile cant expect much from a man w two moves nash tho 😕,neutral,5.0
10,i have a hospital scalpel at home if you want  its small but its very effective   ty,positive,3.0
11,is that my dad pouting 😂,strongly positive,1.0
12,we    are         hamburg germany,positive,3.0
13,practice being cancelled would be a gift from god,positive,3.0
14,bentley gt  s hot  or not   dub developed by megu i ars dub wax dub cleaners dub show by,positive,3.0
15,bentley gt  s hot  or not   dub developed by megu i ars dub wax dub cleaners dub show by,sarcasm,4.0
16,bitch my eyes were watering as i read that i’m dead 😭,negative,2.0
17,the hell is up wit them libyans  wtf  😡  of course african leaders won’t do shit but sit their butts in pow…,strongly negtive,0.0
18,feet apart cause theyre not gay  😂,strongly positive,1.0
19,lmfaoo thats an orlando zip code aint new york 😂,strongly positive,1.0
20,naked bitches no exaggeration future was not lying 😂,strongly positive,1.0
21,females masturbate to lesbian porn 😭 so much truth 🤦🏽‍♀️,negative,2.0
22,females masturbate to lesbian porn 😭 so much truth🤦🏽‍♀️,negative,2.0
23,a nigga is always gonna be a plus for me  😭 she be speaking fuckin facts‼️💅🏾🤗,negative,2.0
24,accidentally just ate dick me 😂 imacelebrity,strongly positive,1.0
25,all i want is the top 😂,strongly positive,1.0
26,all you gotta do is workout 😂,strongly positive,1.0
27,amir khant finish a trial 😭 imaceleb,negative,2.0
28,and do eachothers laundry 😭,negative,2.0
29,and i dont need to carry all the things ive done wrong 😭,negative,2.0
30,and i play w his balls i should try out for sports bihh 😭,negative,2.0
